LT,LS,LB,WT,WB,Wfi,Fleet
252,205,180,338.3,155.6,94.8,1
239,195,181,339,147.1,84.8,1
248,200,173,340,143.6,96.1,1
245,200,190,340,150,100,1
250,200,185,340,160,103,1
249,206,187,340,165.3,106.6,2
251,210,172,340.6,70,41,2
235,192,181,341,142.1,85.7,1
242,203,180,341,152.4,102,2
255,211,165,341.1,138.5,80,2
248,198,184,343,152,99,1
240,200,180,344,156.6,98.5,2
260,220,170,345,123,69.4,1
245,205,170,345,164.2,92,1
265,215,185,345.2,139.9,81.5,2
258,214,166,346,141,74,1
267,220,204,346.9,198.3,137.9,2
232,187,175,348,197.5,102.4,2
243,198,169,349,158,90.3,1
250,200,190,350,146,90,1
260,215,174,352,149,86,2
235,195,170,352,167.7,99.2,1
263,215,180,354,138,75,2
253,206,190,354,161,103,1
255,200,200,356,160,104,1
260,215,200,356,170,110,2
243,200,183,356.4,163.4,103.6,1
260,215,185,357.6,169,107,2
245,195,185,358,154,105,1
245,200,180,358,155,105,1
245,205,195,358,157.9,90.8,2
250,205,183,358,158,85,1
263,210,200,358.2,197.8,93.4,2
251,208,175,358.9,138.7,77,2
270,220,200,359,166.8,96.7,2
250,200,170,360,153,97.3,1
260,210,200,360,175.4,112.6,1
250,205,180,361,128.4,70,2
246,205,172,362,134,76,1
232,195,175,362.3,136,71,2
265,223,190,363,185,99,2
248,195,190,363.4,176.8,117.7,1
258,210,195,363.5,170,112.6,2
249,203,185,364,159,100.2,1
257,210,200,365,126,102,1
275,232,187,366,108,108,2
244,198,185,366,165,114,1
247,200,190,367,144.8,88.6,1
253,211,186,367,155,96,1
255,210,195,367,172.6,116.8,1
234,197,178,367.1,163.1,104.7,1
241,201,168,368,158.7,72.7,1
260,210,190,368,162,104,1
250,205,180,368,171,103,1
265,215,190,368,177,100.1,2
250,200,200,368.8,165.9,106.5,1
254,210,190,369,154,98,1
246,198,181,369,156,101,1
270,225,205,369.3,209.3,96.9,2
255,205,180,369.4,167.9,82.5,2
260,210,200,370,160,102.2,1
265,215,200,370,172,111,1
265,211,190,370.9,165.8,110.5,1
263,211,175,371,139,70,1
260,215,185,371,168,115,2
244,195,178,372,118,66,2
243,196,172,372,152,96,1
255,211,178,372,155.3,87.9,1
248,202,180,372,164,115,1
270,220,200,372,191,122.7,1
250,200,179,373,160,107,1
255,209,190,373,165,117,1
259,212,195,374,160,103,2
242,197,185,374,164,98.3,1
269,222,190,374.5,160.9,82.9,2
253,208,196,375,166.8,103.2,1
245,195,187,375,127,102,1
250,210,170,376,102,98,2
243,190,187,376,171,114,1
241,196,175,376.5,158,92,2
245,201,185,377,159,102.7,1
255,210,200,378,177,110,1
255,205,195,380,185.5,119.5,1
253,207,175,380,190,98,1
255,200,180,381.6,181.6,118,1
260,215,200,383,168,115,1
261,216,180,383.5,146.1,89.4,2
252,205,180,384,181,117,1
270,220,190,385,171,97.3,2
270,222,215,385,182,127,1
270,225,185,386,164,98.3,2
250,210,195,387,136,114,1
248,202,178,387,159,101.1,1
255,211,181,387.2,161.4,68.2,2
248,202,186,389,159.9,98.6,1
270,220,200,390,166,112,1
263,215,190,390,181,114.6,1
245,195,180,390,188.5,132.4,1
257,211,181,391,167.8,104.8,1
260,200,185,391,177,115.5,1
256,212,170,392,139,70,1
225,201,174,392,159.8,99.6,1
253,195,180,392,186,112,1
260,210,185,392.3,166.2,112.1,2
250,200,195,392.5,178,113.9,1
250,200,190,393,179,120.5,1
250,200,185,393,180,114.9,1
264,213,205,394,189,115,1
250,205,180,394.4,188,113.8,1
244,203,174,395,155,92.5,1
280,230,215,396,174.8,101.3,2
260,220,190,397,185,115,1
252,206,177,399,164.8,111.3,1
255,205,190,399,187,130,1
255,208,195,400,173.1,109.5,1
232,190,175,400,177,119,1
255,205,190,400,180,102,1
245,200,185,400,180,95.5,1
262,212,190,400,184,128,1
283,229,186,400.2,154.7,83.4,2
260,214,200,400.8,207,127.5,2
260,210,210,401,178,116,1
250,205,185,401,191,119,1
252,208,185,402.4,190.9,121.1,1
256,210,186,405,182,115.7,2
255,210,194,405.1,210.9,147.5,2
268,220,200,406,185,122,1
247,210,190,407,174,85,1
263,220,190,407,178,113,1
260,205,183,407.7,192.2,129.3,2
275,230,190,408,166,112,1
260,215,180,408,180,113.6,2
250,200,180,408,195,138,1
260,210,200,409,187,129,1
260,210,200,410,171.9,103.5,1
260,210,190,410,200,109,1
275,220,205,410,200,109.6,1
278,234,195,410.8,189.9,104,2
275,235,200,411,155,91,2
290,245,215,411,170.7,100.3,2
255,205,185,411,185.6,120,1
270,225,200,411,195,120,1
260,205,190,412,190,125,1
266,213,190,413,183,114,1
267,224,190,413,174.8,114.6,1
270,225,190,413.1,186.6,113.5,2
260,215,200,413.9,214.6,139,2
260,210,180,414,180,120,1
265,215,200,414,200,130,1
270,225,195,414.6,185.8,118.7,2
253,206,192,415,168,108,1
260,220,203,415.4,243.1,110.8,2
265,215,200,416,176,102,1
265,220,185,416,176,86,1
260,210,190,416,197,127,1
260,220,170,416.5,193,128.5,2
258,213,178,417,153,65,1
268,219,191,419,187,121,1
265,215,187,420,176,120,1
260,208,197,420,192.9,131.3,1
275,220,210,420,200,125,1
254,210,189,420,210,118,2
255,200,190,421,183,121,1
263,207,192,421,187,131,1
265,210,200,421,207,139.5,1
260,210,195,421.2,209.6,131.4,2
265,210,190,421.5,192.4,131.4,1
265,215,195,422,163.5,100.3,2
260,210,195,422,189,126,1
259,208,189,423,205,112,1
270,220,204,423,206,132,1
262,222,202,423.4,201,133.3,2
245,202,176,424,182,106.9,1
283,230,230,424,216,126,1
260,220,200,426,164,91,2
245,200,180,426,194,137,1
268,220,210,426,196,132.2,1
270,215,185,427,186.9,122.5,1
280,230,215,427,237.1,105.3,2
262,215,185,429.2,172,84,2
252,215,178,430,138,74,2
255,215,179,430,146,86,2
256,210,190,430,200,128,1
265,220,190,431,179,105,1
261,213,185,432,180,106,1
265,220,200,432,188,124,1
260,210,190,432,192,134.5,1
263,210,190,432,197,130,1
265,215,195,433,192,127,1
255,210,190,433,200,138,1
265,215,191,434,190.9,125,1
270,230,210,434,197,126,1
280,230,210,435,200,125,1
250,205,202,435,220.7,135.3,2
264,215,205,435,223,151,1
260,220,195,436,161.6,86.1,2
280,230,190,436,198.5,128.4,1
271,220,200,436,201,134,1
275,220,210,437,203,120,1
266,215,190,437,203.6,130.2,1
265,230,200,437.8,206.1,122.2,2
255,210,200,438,210,146,1
275,222,200,439,213.5,132.4,1
240,200,190,440,157.2,89.7,1
282,235,208,440,176,87.3,2
255,210,195,440,187,124,1
255,208,177,441,186,110.4,1
255,210,194,441,205,134,1
245,210,170,442,119,64,1
260,205,205,442,207.5,134,1
260,210,195,443,197,133,1
250,205,180,444,204.7,115.4,1
270,220,170,446,151.2,93.6,1
282,235,205,446,161.5,88.6,2
272,223,195,447,207,139,1
285,235,210,448,202,119.2,2
285,241,192,449.2,173.7,85.4,2
250,204,177,450,199,139.8,1
260,210,185,450,200,116,1
275,230,215,450,201,129,1
267,217,186,450,201.9,131,1
266,215,195,450,212,143,1
275,225,210,450.5,230.2,123.7,1
285,230,215,453,222,140,1
260,210,190,453,219,129.5,1
275,220,218,454,221,141.6,1
270,220,200,454,221,148,1
258,211,185,455,173,115.5,1
271,220,192,455,209,129.5,2
260,207,206,455,255,137,1
254,208,178,456,176,104,1
280,235,205,456,207,130,2
282,232,220,456.4,220,135.6,1
255,210,175,457,169,90,1
284,230,200,457,210,132,1
276,224,206,458,208,139,1
272,227,210,458,214,145,1
268,215,211,458.9,230,148.6,1
258,214,199,459,189,146,1
260,214,188,459,195,131,1
260,220,200,459,196,119.7,1
261,211,190,459.6,213,142.6,1
229,185,171,460,113.5,65.1,1
240,195,175,460,125.5,73.8,1
265,220,200,460,188,134,1
265,220,195,460,202,134,1
265,206,190,460,217.8,134.6,1
270,220,200,460,221,153.3,2
282,225,219,460,239,150,1
270,220,210,460,240,153,1
270,222,205,462,204,129.4,2
268,220,205,463,212,126,2
270,223,210,464,204.6,125.4,2
275,220,205,464,271,170,1
283,235,195,465.4,178,87.3,2
254,206,174,466,183,110,1
264,215,196,467,215,140,1
280,225,190,468,208,135.4,1
265,210,200,469,190,118,1
267,217,185,469,197,135,1
260,218,200,470,171.9,103.5,2
268,221,187,470,187,115,2
270,215,210,470,214,137,1
285,231,211,470,226,142,1
270,225,204,470.3,229.4,143.5,2
264,209,201,471,213,150,1
260,215,205,471.3,255.9,138.5,2
265,215,185,472,192,118,1
285,234,195,472,197,114,2
260,215,185,472,213,148,1
265,210,190,473,196.8,128,1
275,225,210,474,212,132,1
260,210,190,474,219,148,1
285,240,205,475,133.9,88.8,2
270,225,200,476,197,114,2
280,235,200,476,224,141,1
275,227,227,477,298,168,2
275,220,220,477,231,145,1
280,235,210,477.6,205.8,130.3,2
273,220,209,478,222,143,1
271,223,185,480,154,96,2
280,240,200,480,200,130,1
275,226,191,480,200.3,107,2
285,240,210,480,220,148.1,2
260,220,194,480,230,138,1
280,230,215,480,230,146,1
270,220,210,480,230,160,1
320,260,240,480.2,299,152,2
270,220,200,483,235.5,156,1
260,215,190,486,217,139,1
276,221,203,486,228,158,1
255,210,190,487,176,107,1
270,215,215,487,235,147,1
275,220,200,487.3,218.2,126.1,2
262,220,180,488,165,91.5,1
273,214,210,488,228,158,1
285,233,200,489,243.1,117.1,2
275,220,220,490,235,147,1
270,220,210,492,206,125,1
262,217,210,492,228,122,1
275,224,200,492.5,235.4,161.3,2
285,230,220,492.7,222.8,144.4,1
265,220,190,493,223,150,1
280,230,220,493,235,139.7,1
268,216,191,494,202,112,2
258,210,193,494,210,135.5,1
280,230,210,495,226,141.1,1
281,231,210,496,184,118,2
288,238,205,496,230,153,1
280,225,210,497,231,157,1
262,213,203,497.7,253.3,147.4,1
270,220,205,498.5,227.5,148.1,1
280,230,207,499,239,160,1
280,230,220,499,241,153.8,1
275,220,205,499,242,159,1
241,195,168,500,126.1,65.7,1
236,191,177,500,137,75,1
281,235,203,500,205.2,119.7,2
281,232,210,500,227,137,1
270,220,195,500,230,138,1
260,210,190,501,222,157,1
270,220,205,501,229,131,1
261,212,197,501.7,236.5,145.2,2
270,220,185,501.8,160.6,89.7,2
265,220,200,502,214,132.2,1
290,240,200,502.4,265.4,150.5,2
280,230,210,505.9,231.6,135.1,2
275,225,205,506,202,126,1
281,227,195,506,222,124,1
268,221,187,509,209.5,133.2,1
286,231,197,510,195.2,116.5,2
275,220,190,510,205,132,1
280,230,210,510,220,116,1
285,225,202,510,225,141.4,1
285,230,230,510,243,157,1
291,243,205,510,262.5,143.1,2
255,210,190,510,300,146,1
250,205,170,510,320,155,1
291,235,185,511,183,100,1
288,235,215,511,250,158,1
295,245,225,512,226.4,123.6,2
276,215,212,512,227,151,1
265,220,195,513,229,148.6,1
280,222,210,514,246,176,1
285,235,210,514.9,238,154,2
280,228,205,515,218,142,1
265,215,200,515,239,170,1
290,240,220,515,251,152.3,1
280,225,220,515,256,171,1
280,232,210,515,260.1,160,2
273,225,205,516,223,137,1
290,235,220,518,246,154.3,1
274,225,204,519,238,160,1
286,235,193,520,212.8,116.6,2
290,240,220,520,221,145,1
265,215,205,520,222.5,145,1
288,235,205,520,233.1,142.4,2
275,230,200,520,250,147,1
285,225,210,520,253,161.6,1
283,232,215,520,260,162.2,2
275,225,205,520,260,181,1
285,230,226,520,320,200,2
300,250,220,521,247,165.8,1
260,215,190,521.7,262.8,135.4,1
275,230,219,522,221,169,1
285,236,200,522,225,140,1
263,220,195,522,250,147,1
277,228,210,523,254,165,1
261,218,195,524,237,157.4,1
280,225,210,524,324,143,1
268,220,210,525,241,165,1
285,235,205,525,242,146,1
274,222,200,526,122.9,109.8,1
280,230,184,526,202,122,1
277,222,210,528,218,143,1
270,220,203,528,261,177,1
283,230,200,530,244,165.4,2
290,240,215,530,255.2,156.5,2
285,235,212,530,272.1,168.5,1
283,240,210,530,280,172,1
265,220,205,530,300,156,1
260,210,180,532,183,105,1
281,229,188,532,212,130,1
301,245,235,532,270,170,1
290,240,203,533,214,133,1
290,235,220,533,239,159,1
275,225,210,534,246,158,1
276,222,213,534,334,160,1
260,210,180,535,231.4,153.3,1
280,235,175,536,183,105,1
295,242,225,536,267,189,1
270,225,190,539,250,174,1
290,245,216,539.6,262.5,174.8,2
270,220,200,540,190,112.4,1
270,210,210,540,217,131.4,1
265,210,200,540,226,155.9,1
290,230,200,540,230,148,1
275,225,210,540,240,159,1
280,215,205,540,243.5,152,1
275,220,215,540,245,154.5,1
270,215,195,542,231,144,1
288,234,205,542,246.6,165.3,1
295,230,230,542,279,183,1
280,220,220,542,281,189,1
285,235,226,543,221,138.1,2
300,245,220,543,242,153,1
280,225,220,544,234,153,1
280,230,225,544,261,165.6,2
285,234,230,545.2,319.9,160,2
285,230,210,546,253,176,1
301,242,210,546.4,264.6,156.4,2
274,225,207,548,230,150,1
293,240,220,548,274,188,1
265,220,210,550,204.9,120,1
280,225,218,550,233,150,1
280,225,220,551,243,143,1
269,222,198,555,261,176.7,1
280,226,202,556,236.6,136,1
272,222,200,557,254,170,1
275,225,205,559,254,160,1
300,250,210,559.8,265.3,169.8,2
280,230,210,560,220,145.3,1
275,225,200,560,230,160,1
290,235,230,560,244,150.9,1
300,245,220,560,248,142,2
300,255,215,560.5,230.5,139.6,2
284,222,214,562,245,160,1
271,225,194,563,239,159,1
310,250,220,563,266,168.1,1
290,235,225,565,275,185,1
285,232,205,565,276.5,183.5,1
287,235,220,566,279,182,1
275,220,215,567,254,157,1
290,240,220,567.2,286.1,197.4,2
310,260,210,568,246,153.7,2
280,230,220,569,259,175,2
285,236,212,569,260,141,1
300,250,230,569,269,175,1
293,242,205,570,237.4,134.5,2
297,245,212,570,240,106,2
290,240,210,570,250,147,1
280,225,217,570,253.9,163.5,1
298,245,220,570,258,161,1
280,235,215,570,280,186.4,1
291,236,222,571,286,175,1
282,226,210,572,251,174,1
290,235,222,573,296,188,1
295,243,185,574,162,92,2
295,245,204,574,196,111.1,2
295,245,200,574,228,144,1
290,235,195,574,263,177,1
285,235,215,574,374,182,1
288,232,199,575,260.6,169.7,2
291,241,208,575,267,168,1
300,250,220,575,284,183.4,1
295,240,222,576,290,207,1
280,230,195,578,214,125,1
295,235,220,579,271,154,1
279,234,195,580,185,90,2
285,230,215,580,222.3,135,1
280,230,210,580,248,159.8,1
290,235,210,580,260,177,1
287,235,205,580,280,187.7,1
292,245,220,581,214.3,136.2,2
285,230,225,583,266,175,1
289,243,219,584,252.6,147.3,2
288,235,210,585,254.7,154,1
300,248,230,585,275,190,1
320,260,240,587,250,147,1
295,242,220,589,301,193,1
300,250,220,590,270,161.9,1
302,256,225,590,276.5,171.2,2
278,225,207,590,323,187.7,1
303,252,186,591,260,156,1
298,245,210,591,272,162,2
290,237,205,591,273,169,1
275,225,220,592,257.7,156.9,2
300,250,200,593,246.3,157.3,1
275,231,193,594,174,72,2
310,275,225,594,247.7,154,2
275,225,210,594,250,167,1
304,246,215,594,254,163,1
300,240,200,594,394,182,1
290,240,215,596,263,172,1
266,220,185,600,181.3,108.4,1
298,240,240,600,263,159,1
300,250,220,600,280,174.2,1
305,250,225,600,284,172.4,1
300,240,212,600,300,172,1
310,260,230,600,300,156,1
295,240,220,600,360,220,1
280,230,213,601,272,185,1
285,235,225,601,311,199.8,2
315,260,230,605,237,125.5,2
294,237,207,605,289,186.4,1
300,244,225,606,283,182,1
303,260,215,609,276,155.1,2
273,220,190,610,220,135.3,1
291,242,188,610,264,124,2
279,235,210,610,275,180.9,1
295,245,210,611,278,180.2,2
305,256,235,614,250,156,2
297,247,193,615,215,130.6,2
306,248,220,615,300,171,1
302,255,220,616,208,90,2
295,236,202,616,215,122,1
303,250,220,616,280,177,1
300,245,234,616,308,198,1
320,260,212,618,241,129,1
305,245,228,619.8,284.5,165.1,2
276,227,195,620,266,172,1
300,250,225,620,290,207,1
300,250,230,620,313,198,1
285,230,210,620,320,149,1
305,250,220,629.2,303,181,2
295,240,168,630,206.1,106,1
293,240,199,630,212,146,2
295,245,219,630,228,132,2
307,250,217,630,260,144.5,1
290,235,212,631,265,182,1
250,200,170,632,218,150,1
297,238,224,634,287,197,1
295,241,178,635,250,134,2
290,240,235,635,295,196,1
274,230,210,640,220,137.4,1
300,250,235,642,313,210,1
300,250,235,643,233,124.5,2
295,240,226,644,344,206,1
295,240,210,645,280,184,1
298,245,220,647,394,195,1
311,246,232,649,289,170,1
275,225,211,650,306,201,1
320,261,211,652,248,140,2
290,240,210,654,292,144,1
310,250,230,655,339,200,1
315,260,220,656,276,143,1
300,250,230,657,325,207,1
300,240,230,660,257,151,1
300,267,217,660,289,191,1
290,240,220,660,350,223,1
290,230,210,661,361,188,1
305,250,200,666,258,147,1
305,250,221,666,324,152,2
295,237,235,667,316,201,1
320,250,240,668,310,181,1
298,250,230,669,267.5,148.5,2
305,250,240,669,320,218.1,1
320,265,245,670,340,211,1
323,270,250,672,322,187,1
317,255,230,673,295,163,1
313,265,219,674,296,180,2
310,260,211,677,267,140,1
300,250,230,680,300,153,1
302,251,215,686,293.3,186,2
304,255,227,690,236.5,110.7,2
312,255,235,690,355,207.2,1
285,230,220,693,325,219,1
265,215,187,694,179,114.6,1
305,253,240,694,308,189,1
324,267,255,694,336,222,1
303,251,222,695,175.7,123,1
300,250,220,695,340,205.5,2
320,270,235,699.8,330.1,210.2,2
290,240,220,700,281.6,185.1,1
315,260,240,700,330,201,1
265,220,197,704,262,106,1
340,290,210,706,218,160,2
325,265,240,710,299,185,1
290,270,240,711.2,379.3,258.8,2
305,250,220,720,209,115,1
322,267,207,720,263.3,146.5,2
300,250,225,720,400,175,1
300,255,235,722,291.3,153,2
310,245,211,724,216,94.1,2
310,245,235,726,330,202,1
308,255,216,730,340,192.3,2
320,265,205,732,263,138,1
300,245,225,735,308,183,1
330,260,240,739,336,203,1
345,280,240,740,244,140,2
310,250,220,740,320.5,214.1,1
320,270,233,747,344,230,1
312,260,230,750,337,215.5,1
295,245,220,750,345,241,1
335,285,231,755.2,347.4,168,2
320,265,240,757,359,208,2
320,270,230,760,296,175,2
338,275,243,762,352,242,1
306,252,235,765,384,256,1
315,250,240,770,329,189.5,1
315,257,235,770,356,234,1
295,240,235,775,349,234,1
310,250,235,775,358,232,2
330,270,247,778,353,219.2,2
300,250,230,780,310.3,177.9,1
330,270,240,780,330,187,1
322,265,242,780,350,240,1
320,260,250,781,344,227,1
320,260,250,786,353,231,1
320,270,230,794,358,212,1
310,247,245,799,337,216,1
330,265,240,800,300,178,1
320,265,240,800,309,158,1
330,265,245,800,337.4,213,1
333,280,210,804,323,188,1
340,280,240,806,365,194.7,2
320,260,237,820,360,220,1
328,265,232,820,407,274,1
318,257,233,820,460,263.3,1
330,270,260,822,365,221,1
323,260,240,828,363,238,1
319,261,228,829,260,110,1
335,280,255,831,300,159,2
320,264,220,832,305,178,1
327,265,245,832,374,255,1
340,290,230,837,355,211.1,2
310,260,240,839,377.4,239.2,2
325,270,240,840,360,211,1
334,275,229,840,370,195,2
348,275,270,840,370,243,1
340,280,260,840,410,239,1
330,280,244,850,350,180,1
335,275,268,850,413,240,1
345,290,250,850,430,229,1
320,265,230,850.5,365.4,225.7,2
338,275,235,851,303,143,1
335,267,225,852,280,158,2
305,250,245,852,367,229,1
340,280,225,860,366,209.3,2
330,265,250,860,384,248,1
350,265,250,869,413,261.6,2
310,260,230,880,420,186,1
327,268,252,881,385,266,1
330,270,235,882,296,140,2
325,285,230,884,308,180,2
328,270,220,888.3,416.3,213.1,2
320,260,240,890,368,240,1
305,245,240,900,350,215,1
347,281,245,902,400,246,2
338,285,235,913,380,218,1
350,290,260,920,423,240,1
330,265,245,924,393,260,1
330,265,235,926,336,207,1
343,285,235,927,382,208,2
365,300,255,930,400,207,1
316,260,235,940,406,270,1
355,290,260,955,450,294,1
345,290,250,958,422,232,2
320,260,240,960,341,255,1
332,275,234,964,348,200,1
330,265,235,970,341,201,1
333,270,260,970,434,283,1
360,295,260,976,474,291,1
320,247,230,995,434.6,298.4,1
335,272,245,1024,371,217,1
335,280,250,1031,462,306,1
320,260,235,1033,441,273.1,2
290,240,197,1036,403,248,1
330,270,240,1048,416,269,1
360,300,260,1080,570,285,1
350,285,275,1092,514,338,1
370,310,280,1100,545,348,1
342,275,255,1104,470,316,1
340,288,250,1107,478,314,1
360,300,270,1120,436,241,1
340,290,250,1120,440,243,1
340,280,225,1120,462,308,1
340,280,250,1120,478,323,1
370,300,270,1140,610,356,1
395,320,283,1140,590,420,1
368,305,262,1146,468,235.2,2
367,305,270,1153,516,333,1
310,260,210,1158,523,285,1
300,250,209,1166,533,296,1
405,340,275,1183,520,298,1
370,290,290,1212,507,308,1
370,310,260,1220,500,270,1
360,300,273,1224,545,366,1
375,310,285,1231,623,396.3,2
330,270,255,1248,482,320,1
385,310,285,1255,645,380,1
384,320,280,1262,548,356,1
400,320,290,1291,560,280,1
390,325,280,1320,662,398,1
320,270,245,1344,602,334,1
356,300,263,1353,617,370,1
378,315,247,1390,600,286.4,2
380,320,268,1400,525,394,1
400,335,300,1406,616,343,2
390,320,295,1435,559,329,1
399,332,300,1438,690,366,1
370,303,274,1475,608,361,1
390,310,295,1496,610,361,1
390,320,280,1520,630,340,1
370,305,270,1523,564,350,1
390,325,285,1564,615,375,1
405,330,300,1600,700,440,1
410,330,275,1770,802,486,1
425,350,310,1850,840,500,1
400,330,315,1928,870,499,2
435,365,305,2045.6,978,564,1
405,340,292,1630,770,462,1
